Date,AUD
4/20/2018,0.31
4/19/2018,0.02
4/18/2018,-0.02
4/17/2018,-0.19
4/16/2018,-0.27
4/13/2018,0.02
4/12/2018,0.4
4/11/2018,0.4
4/10/2018,0.52
4/9/2018,0.58
4/6/2018,0.02
4/5/2018,0.14
4/4/2018,0.39
4/3/2018,-0.2
4/2/2018,0.07
3/30/2018,0.06
3/29/2018,0.08
3/28/2018,0.24
3/27/2018,0.53
3/26/2018,1.2
3/23/2018,1.18
3/22/2018,1.19
3/21/2018,0.88
3/20/2018,0.94
3/19/2018,1.2
3/16/2018,1.12
3/15/2018,1.39
3/14/2018,1.38
3/13/2018,1.63
3/12/2018,1.03
3/9/2018,0.82
3/8/2018,0.61
3/7/2018,0.34
3/6/2018,0.26
3/5/2018,0.46
3/2/2018,0.55
3/1/2018,0.39
2/28/2018,0.25
2/27/2018,-0.04
2/26/2018,-0.19
2/23/2018,-0.33
2/22/2018,-0.56
2/21/2018,-0.72
2/20/2018,-0.94
2/19/2018,-1.1
2/16/2018,-1.11
2/15/2018,-1.01
2/14/2018,-0.91
2/13/2018,-1.07
2/12/2018,-1.18
2/9/2018,-1.07
2/8/2018,-0.93
2/7/2018,-1.12
2/6/2018,-0.97
2/5/2018,-0.79
2/2/2018,-0.99
2/1/2018,-1.02
1/31/2018,-0.85
1/30/2018,-1.05
1/29/2018,-1.02
1/26/2018,-0.91
1/25/2018,-0.9
1/24/2018,-1.06
1/23/2018,-1.17
1/22/2018,-1.26
1/19/2018,-0.63
1/18/2018,-1.25
1/17/2018,-1.12
1/16/2018,-1.12
1/15/2018,-1.29
1/12/2018,-1.23
1/11/2018,-1.3
1/10/2018,-1.13
1/9/2018,-1.15
1/8/2018,-1.5
1/5/2018,-0.97
1/4/2018,-0.44
1/3/2018,-0.35
1/2/2018,-0.57
1/1/2018,0.19
12/29/2017,0.15
12/28/2017,-0.05
12/27/2017,0.55
12/26/2017,0.25
12/25/2017,0.19
12/22/2017,0.2
12/21/2017,0.05
12/20/2017,0.5
12/18/2017,-0.53
12/15/2017,-0.57
12/14/2017,-0.9
12/13/2017,-0.75
12/12/2017,-0.89
12/11/2017,-1.1
12/8/2017,-0.83
12/7/2017,-0.85
12/6/2017,-0.85
12/5/2017,-1.19
12/4/2017,-1.2
12/1/2017,-1.01
11/30/2017,-1.22
11/29/2017,-1.36
11/28/2017,-1.47
11/27/2017,-1.5
11/24/2017,-1.7
11/23/2017,-1.8
11/22/2017,-2.01
11/21/2017,-1.98
11/20/2017,-2.16
11/17/2017,-2.24
11/16/2017,-2.21
11/15/2017,-2.34
11/14/2017,-2.61
11/13/2017,-2.51
11/10/2017,-2.49
11/9/2017,-2.45
11/8/2017,-2.4
11/7/2017,-2.45
11/6/2017,-2.48
11/3/2017,-2.42
11/2/2017,-2.43
11/1/2017,-2.41
10/31/2017,-2.5
10/30/2017,-2.6
10/27/2017,-2.64
10/26/2017,-2.6
10/25/2017,-2.66
10/24/2017,-2.76
10/23/2017,-2.97
10/20/2017,-2.85
10/19/2017,-2.92
10/18/2017,-2.88
10/17/2017,-2.93
10/16/2017,-3.12
10/13/2017,-2.99
10/12/2017,-2.95
10/11/2017,-2.81
10/10/2017,-2.95
10/9/2017,-3.06
10/6/2017,-2.8
10/5/2017,-2.76
10/4/2017,-2.85
10/3/2017,-3.02
10/2/2017,-2.91
9/29/2017,-2.95
9/28/2017,-2.85
9/27/2017,-2.82
9/26/2017,-3.06
9/25/2017,-2.89
9/22/2017,-2.81
9/21/2017,-2.84
9/20/2017,-2.92
9/19/2017,-3.27
9/18/2017,-3.26
9/15/2017,-3.19
9/14/2017,-3.05
9/13/2017,-3.01
9/12/2017,-3
9/11/2017,-2.84
9/8/2017,-2.8
9/7/2017,-2.94
9/6/2017,-2.85
9/5/2017,-2.95
9/4/2017,-2.8
9/1/2017,-2.86
8/31/2017,-2.75
8/30/2017,-2.88
8/29/2017,-2.71
8/28/2017,-2.81
8/25/2017,-2.9
8/24/2017,-2.85
8/23/2017,-2.96
8/22/2017,-3.06
8/21/2017,-3.02
8/18/2017,-3.04
8/17/2017,-3.03
8/16/2017,-3.08
8/15/2017,-2.98
8/14/2017,-3.2
8/11/2017,-3.18
8/10/2017,-3.15
8/9/2017,-3.11
8/8/2017,-3.3
8/7/2017,-3.36
8/4/2017,-3.31
8/3/2017,-3.2
8/2/2017,-3.12
8/1/2017,-3.05
7/31/2017,-3.29
7/28/2017,-3.1
7/27/2017,-3.14
7/26/2017,-3.18
7/25/2017,-3.31
7/24/2017,-3.48
7/21/2017,-3.13
7/20/2017,-3.15
7/19/2017,-3.15
7/18/2017,-3.2
7/17/2017,-3.2
7/14/2017,-3.28
7/13/2017,-3.29
7/12/2017,-3.18
7/11/2017,-3.31
7/10/2017,-3.52
7/7/2017,-3.31
7/6/2017,-3.17
7/5/2017,-3.33
7/4/2017,-3.22
7/3/2017,-3.2
6/30/2017,-3.14
6/29/2017,-2.9
6/28/2017,-2.85
6/27/2017,-2.93
6/26/2017,-2.72
6/23/2017,-2.74
6/22/2017,-2.86
6/21/2017,-3.03
6/20/2017,-3.2
6/19/2017,-3.2
6/16/2017,-3.09
6/15/2017,-3.22
6/14/2017,-3.47
6/13/2017,-3.4
6/12/2017,-3.2
6/9/2017,-3.14
6/8/2017,-3.26
6/7/2017,-3.6
6/6/2017,-3.7
6/5/2017,-3.58
6/2/2017,-3.55
6/1/2017,-3.38
5/31/2017,-3.68
5/30/2017,-3.87
5/29/2017,-3.95
5/26/2017,-3.96
5/25/2017,-3.96
5/24/2017,-4.04
5/23/2017,-4.21
5/22/2017,-4.52
5/19/2017,-4.25
5/18/2017,-4.05
5/17/2017,-4.32
5/16/2017,-4.52
5/15/2017,-4.86
5/12/2017,-4.5
5/11/2017,-4.51
5/10/2017,-4.8
5/9/2017,-4.93
5/8/2017,-4.71
5/5/2017,-4.26
5/4/2017,-4.21
5/3/2017,-4.15
5/2/2017,-4.35
5/1/2017,-4.51
4/28/2017,-4.19
4/27/2017,-4.18
4/26/2017,-4.51
4/25/2017,-4.56
4/24/2017,-4.61
4/21/2017,-4.27
4/20/2017,-4.15
4/19/2017,-4.22
4/18/2017,-4.75
4/17/2017,-4.48
4/14/2017,-4.5
4/13/2017,-4.44
4/12/2017,-4.43
4/11/2017,-4.8
4/10/2017,-4.38
4/7/2017,-4.19
4/6/2017,-4.2
4/5/2017,-4.25
4/4/2017,-4.34
4/3/2017,-4.12
3/31/2017,-4.07
3/30/2017,-3.97
3/29/2017,-3.88
3/28/2017,-3.92
3/27/2017,-3.96
3/24/2017,-4.22
3/23/2017,-4.25
3/22/2017,-4.42
3/21/2017,-4.42
3/20/2017,-4.77
3/17/2017,-5.15
3/16/2017,-4.89
3/15/2017,-4.79
3/14/2017,-4.86
3/13/2017,-4.83
3/10/2017,-4.93
3/9/2017,-5.03
3/8/2017,-4.65
3/7/2017,-4.95
3/6/2017,-5.04
3/3/2017,-4.75
3/2/2017,-4.75
3/1/2017,-5.11
2/28/2017,-5.28
2/27/2017,-5.77
2/24/2017,-5.65
2/23/2017,-5.14
2/22/2017,-5.26
2/21/2017,-5.3
2/20/2017,-5.22
2/17/2017,-5.15
2/16/2017,-5.15
2/15/2017,-5.16
2/14/2017,-5.21
2/13/2017,-5.34
2/10/2017,-5.37
2/9/2017,-5.35
2/8/2017,-5.31
2/7/2017,-5.19
2/6/2017,-5.13
2/3/2017,-5.02
2/2/2017,-4.98
2/1/2017,-5.09
1/31/2017,-5.09
1/30/2017,-5.1
1/27/2017,-5.16
1/26/2017,-5.19
1/25/2017,-5.37
1/24/2017,-5.4
1/23/2017,-6.27
1/20/2017,-5.76
1/19/2017,-5.77
1/18/2017,-5.98
1/17/2017,-6.06
1/16/2017,-6.41
1/13/2017,-5.91
1/12/2017,-5.89
1/11/2017,-5.89
1/10/2017,-5.96
1/9/2017,-6.21
1/6/2017,-5.5
1/5/2017,-5.52
1/4/2017,-5.51
1/3/2017,-5.65
1/2/2017,-5.87
12/30/2016,-5.89
12/29/2016,-5.73
12/28/2016,-5.6
12/27/2016,-5.49
12/26/2016,-5.43
12/23/2016,-5.43
12/22/2016,-5.51
12/21/2016,-5.7
12/20/2016,-5.78
12/19/2016,-5.88
12/16/2016,-5.56
12/15/2016,-5.58
12/14/2016,-5.48
12/13/2016,-5.59
12/12/2016,-5.62
12/9/2016,-5.35
12/8/2016,-5.5
12/7/2016,-5.55
12/6/2016,-5.92
12/5/2016,-6.23
12/2/2016,-5.95
12/1/2016,-5.81
11/30/2016,-5.98
11/29/2016,-6.23
11/28/2016,-6.23
11/25/2016,-6.2
11/24/2016,-6.09
11/23/2016,-6.11
11/22/2016,-6.68
11/21/2016,-6.15
11/18/2016,-6.12
11/17/2016,-6.18
11/16/2016,-6.65
11/15/2016,-7.06
11/14/2016,-6.59
11/11/2016,-6.35
11/10/2016,-6.49
11/9/2016,-6.39
11/8/2016,-6.99
11/7/2016,-6.41
11/4/2016,-6.3
11/3/2016,-6.33
11/2/2016,-6.47
11/1/2016,-6.33
10/31/2016,-6.05
10/28/2016,-5.97
10/27/2016,-5.9
10/26/2016,-6.23
10/25/2016,-6.32
10/24/2016,-6.52
10/21/2016,-6.28
10/20/2016,-6.3
10/19/2016,-6.29
10/18/2016,-6.36
10/17/2016,-6.53
10/14/2016,-6
10/13/2016,-5.87
10/12/2016,-5.95
10/11/2016,-6.21
10/10/2016,-6.21
10/7/2016,-6.16
10/6/2016,-6.1
10/5/2016,-5.7
10/4/2016,-5.81
10/3/2016,-5.69
9/30/2016,-5.5
9/29/2016,-5.47
9/28/2016,-5.84
9/27/2016,-6.05
9/26/2016,-5.76
9/23/2016,-5.89
9/22/2016,-5.85
9/21/2016,-5.93
9/20/2016,-6.16
9/19/2016,-6
9/16/2016,-6.06
9/15/2016,-6.13
9/14/2016,-6.15
9/13/2016,-6.3
9/12/2016,-5.9
9/9/2016,-5.74
9/8/2016,-5.91
9/7/2016,-6.33
9/6/2016,-6.38
9/5/2016,-5.67
9/2/2016,-5.61
9/1/2016,-5.64
8/31/2016,-5.91
8/30/2016,-6.31
8/29/2016,-5.75
8/26/2016,-5.92
8/25/2016,-5.98
