Date,CAD
4/20/2018,-7.12
4/19/2018,-7.31
4/18/2018,-7.35
4/17/2018,-7.2
4/16/2018,-7.36
4/13/2018,-7.47
4/12/2018,-7.58
4/11/2018,-8.18
4/10/2018,-7.35
4/9/2018,-7.1
4/6/2018,-6.94
4/5/2018,-7.39
4/4/2018,-7.8
4/3/2018,-7.3
4/2/2018,-7.3
3/30/2018,-7.24
3/29/2018,-7.12
3/28/2018,-8.27
3/27/2018,-8.43
3/26/2018,-8.33
3/23/2018,-9.4
3/22/2018,-9.15
3/21/2018,-9.13
3/20/2018,-10
3/19/2018,-9.96
3/16/2018,-10.45
3/15/2018,-10.9
3/14/2018,-10.5
3/13/2018,-10.77
3/12/2018,-9.6
3/9/2018,-10.11
3/8/2018,-10.81
3/7/2018,-10.5
3/6/2018,-10.03
3/5/2018,-9.23
3/2/2018,-8.85
3/1/2018,-8.49
2/28/2018,-8.22
2/27/2018,-5.48
2/26/2018,-4.85
2/23/2018,-4.76
2/22/2018,-5.11
2/21/2018,-5.44
2/20/2018,-5.05
2/19/2018,-4.41
2/16/2018,-4.4
2/15/2018,-4.41
2/14/2018,-4.31
2/13/2018,-3.79
2/12/2018,-3.7
2/9/2018,-3.99
2/8/2018,-3.78
2/7/2018,-3.48
2/6/2018,-3.56
2/5/2018,-3.55
2/2/2018,-3.64
2/1/2018,-3.84
1/31/2018,-3.97
1/30/2018,-3.88
1/29/2018,-3.76
1/26/2018,-3.35
1/25/2018,-3.46
1/24/2018,-3.8
1/23/2018,-4.12
1/22/2018,-3.9
1/19/2018,-3.76
1/18/2018,-4.1
1/17/2018,-3.95
1/16/2018,-4.45
1/15/2018,-3.72
1/12/2018,-3.8
1/11/2018,-4.21
1/10/2018,-4.55
1/9/2018,-4.37
1/8/2018,-4.45
1/5/2018,-4.79
1/4/2018,-5.85
1/3/2018,-6.14
1/2/2018,-6.1
1/1/2018,-6.11
12/29/2017,-5.95
12/28/2017,-10.65
12/27/2017,-10.58
12/26/2017,-14.21
12/25/2017,-13.98
12/22/2017,-14.17
12/21/2017,-13.98
12/20/2017,-12.38
12/19/2017,-13.19
12/18/2017,-15.34
12/15/2017,-16.08
12/14/2017,-12.8
12/13/2017,-11.01
12/12/2017,-10.47
12/11/2017,-9.35
12/8/2017,-9.22
12/7/2017,-8.24
12/6/2017,-8.09
12/5/2017,-8.23
12/4/2017,-6.9
12/1/2017,-6.49
11/30/2017,-7.05
11/29/2017,-5.24
11/28/2017,-4.98
11/27/2017,-4.19
11/24/2017,-3.94
11/23/2017,-4.23
11/22/2017,-4.16
11/21/2017,-3.68
11/20/2017,-3.78
11/17/2017,-3.72
11/16/2017,-3.8
11/15/2017,-4.15
11/14/2017,-4.01
11/13/2017,-3.76
11/10/2017,-3.53
11/9/2017,-3.32
11/8/2017,-3.33
11/7/2017,-3.01
11/6/2017,-2.76
11/3/2017,-2.84
11/2/2017,-2.96
11/1/2017,-3.15
10/31/2017,-3.19
10/30/2017,-3.33
10/27/2017,-3.18
10/26/2017,-3.04
10/25/2017,-3.19
10/24/2017,-3.17
10/23/2017,-3.06
10/20/2017,-2.95
10/19/2017,-3.1
10/18/2017,-3.15
10/17/2017,-3.2
10/16/2017,-2.6
10/13/2017,-2.43
10/12/2017,-2.5
10/11/2017,-2.92
10/10/2017,-3.12
10/9/2017,-2.91
10/6/2017,-2.92
10/5/2017,-3.1
10/4/2017,-2.9
10/3/2017,-2.73
10/2/2017,-2.9
9/29/2017,-2.61
9/28/2017,-3.72
9/27/2017,-4.27
9/26/2017,-4.13
9/25/2017,-3.77
9/22/2017,-3.22
9/21/2017,-2.7
9/20/2017,-2.6
9/19/2017,-2.45
9/18/2017,-2.5
9/15/2017,-2.51
9/14/2017,-2.7
9/13/2017,-2.35
9/12/2017,-2.04
9/11/2017,-2.09
9/8/2017,-2.08
9/7/2017,-2.25
9/6/2017,-2.57
9/5/2017,-4.1
9/4/2017,-3.36
9/1/2017,-3.32
8/31/2017,-3.93
8/30/2017,-4.57
8/29/2017,-4.86
8/28/2017,-4.95
8/25/2017,-5
8/24/2017,-4.95
8/23/2017,-4.8
8/22/2017,-4.94
8/21/2017,-4.89
8/18/2017,-4.95
8/17/2017,-5.16
8/16/2017,-5.19
8/15/2017,-4.96
8/14/2017,-4.6
8/11/2017,-4.95
8/10/2017,-5.21
8/9/2017,-5.84
8/8/2017,-6.55
8/7/2017,-6.48
8/4/2017,-6.45
8/3/2017,-6.5
8/2/2017,-6.6
8/1/2017,-6.65
7/31/2017,-6
7/28/2017,-5.8
7/27/2017,-5.7
7/26/2017,-5.65
7/25/2017,-5.78
7/24/2017,-5.55
7/21/2017,-5.68
7/20/2017,-5.72
7/19/2017,-5.81
7/18/2017,-6
