Date,CHF
4/20/2018,-23.31
4/19/2018,-23.09
4/18/2018,-24.42
4/17/2018,-25.29
4/16/2018,-23.14
4/13/2018,-23.4
4/12/2018,-23.3
4/11/2018,-23.68
4/10/2018,-24.45
4/9/2018,-23.11
4/6/2018,-23.97
4/5/2018,-23.97
4/4/2018,-24.98
4/3/2018,-24.95
4/2/2018,-23.4
3/30/2018,-23.35
3/29/2018,-23.45
3/28/2018,-22.94
3/27/2018,-25.38
3/26/2018,-27.25
3/23/2018,-26.8
3/22/2018,-26.88
3/21/2018,-25.76
3/20/2018,-29.1
3/19/2018,-30.71
3/16/2018,-29.17
3/15/2018,-30.48
3/14/2018,-29.88
3/13/2018,-29.85
3/12/2018,-30.01
3/9/2018,-28.38
3/8/2018,-28.56
3/7/2018,-28.42
3/6/2018,-28.84
3/5/2018,-29.41
3/2/2018,-27.66
3/1/2018,-27.53
2/28/2018,-27.56
2/27/2018,-27.56
2/26/2018,-21
2/23/2018,-19.62
2/22/2018,-19.56
2/21/2018,-19.55
2/20/2018,-19.34
2/19/2018,-19.05
2/16/2018,-19.08
2/15/2018,-19.07
2/14/2018,-19.2
2/13/2018,-19.33
2/12/2018,-19.43
2/9/2018,-19.54
2/8/2018,-19
2/7/2018,-19.05
2/6/2018,-19.08
2/5/2018,-18.94
2/2/2018,-19.24
2/1/2018,-19.36
1/31/2018,-19.53
1/30/2018,-19.27
1/29/2018,-19.26
1/26/2018,-19.36
1/25/2018,-19.92
1/24/2018,-20.62
1/23/2018,-21.94
1/22/2018,-22.53
1/19/2018,-20.99
1/18/2018,-20.94
1/17/2018,-22.1
1/16/2018,-22.24
1/15/2018,-22.83
1/12/2018,-20.75
1/11/2018,-21.06
1/10/2018,-21.01
1/9/2018,-21.42
1/8/2018,-21.65
1/5/2018,-20.35
1/4/2018,-20.46
1/3/2018,-20.13
1/2/2018,-21.15
1/1/2018,-21.91
12/29/2017,-21.99
12/28/2017,-22.03
12/27/2017,-39.72
12/26/2017,-40.48
12/25/2017,-37.74
12/22/2017,-39.92
12/21/2017,-38.85
12/20/2017,-34.04
12/19/2017,-37.96
12/18/2017,-42.47
12/15/2017,-43.52
12/14/2017,-37.73
12/13/2017,-37
12/12/2017,-34.46
12/11/2017,-34.04
12/8/2017,-32.41
12/7/2017,-31.95
12/6/2017,-31.05
12/5/2017,-30.45
12/4/2017,-30.85
12/1/2017,-28.27
11/30/2017,-28.65
11/29/2017,-29.19
11/28/2017,-19.36
11/27/2017,-19.26
11/24/2017,-19.01
11/23/2017,-19.05
11/22/2017,-20.99
11/21/2017,-21.3
11/20/2017,-18.65
11/17/2017,-18.5
11/16/2017,-18.6
11/15/2017,-18.63
11/14/2017,-19.25
11/13/2017,-18.21
11/10/2017,-18.25
11/9/2017,-18.16
11/8/2017,-19.27
11/7/2017,-19.75
11/6/2017,-18.44
11/3/2017,-18.52
11/2/2017,-18.51
11/1/2017,-19.47
10/31/2017,-20.15
10/30/2017,-18.72
10/27/2017,-18.77
10/26/2017,-19.06
10/25/2017,-18.85
10/24/2017,-19.58
10/23/2017,-20.1
10/20/2017,-18.87
10/19/2017,-19.34
10/18/2017,-18.8
10/17/2017,-19.45
10/16/2017,-20.1
10/13/2017,-18.92
10/12/2017,-19.15
10/11/2017,-19.29
10/10/2017,-19.7
10/9/2017,-20.32
10/6/2017,-19.07
10/5/2017,-19.05
10/4/2017,-18.97
10/3/2017,-19.82
10/2/2017,-20.91
9/29/2017,-19.51
9/28/2017,-19.04
9/27/2017,-21.46
9/26/2017,-21.04
9/25/2017,-19.34
9/22/2017,-19.15
9/21/2017,-18.93
9/20/2017,-19.6
9/19/2017,-20.05
9/18/2017,-18.63
9/15/2017,-18.5
9/14/2017,-18.64
9/13/2017,-19.36
9/12/2017,-19.93
9/11/2017,-18.68
9/8/2017,-18.46
9/7/2017,-18.6
9/6/2017,-20.05
9/5/2017,-20.55
9/4/2017,-18.97
9/1/2017,-19.05
8/31/2017,-19.1
8/30/2017,-19.97
8/29/2017,-17.77
8/28/2017,-18.06
8/25/2017,-18.69
8/24/2017,-18.9
8/23/2017,-18.6
8/22/2017,-19.38
8/21/2017,-19.76
8/18/2017,-18.71
8/17/2017,-18.66
8/16/2017,-18.83
8/15/2017,-19.6
8/14/2017,-20.03
8/11/2017,-18.65
8/10/2017,-18.44
8/9/2017,-18.56
8/8/2017,-19.01
8/7/2017,-19.54
8/4/2017,-18.38
8/3/2017,-18.45
8/2/2017,-19.13
8/1/2017,-19.75
7/31/2017,-19.86
7/28/2017,-20.39
7/27/2017,-18.59
7/26/2017,-18.58
7/25/2017,-19.25
7/24/2017,-19.66
7/21/2017,-18.64
7/20/2017,-18.43
7/19/2017,-18.67
7/18/2017,-19.48
7/17/2017,-19.9
7/14/2017,-18.63
7/13/2017,-18.5
7/12/2017,-18.5
7/11/2017,-19.27
7/10/2017,-19.77
7/7/2017,-18.51
7/6/2017,-18.4
7/5/2017,-18.25
7/4/2017,-18.67
7/3/2017,-19.48
6/30/2017,-19.72
6/29/2017,-18.39
6/28/2017,-20.08
6/27/2017,-21.08
6/26/2017,-19.86
6/23/2017,-19.78
6/22/2017,-19.68
6/21/2017,-20.52
6/20/2017,-21.34
6/19/2017,-20.13
6/16/2017,-19.95
6/15/2017,-19.91
6/14/2017,-20.5
6/13/2017,-20.86
6/12/2017,-19.77
6/9/2017,-19.6
6/8/2017,-19.41
6/7/2017,-19.81
6/6/2017,-20.36
6/5/2017,-19.01
6/2/2017,-19.01
6/1/2017,-19.25
5/31/2017,-20.19
5/30/2017,-20.72
5/29/2017,-17.47
5/26/2017,-17.76
5/25/2017,-17.74
5/24/2017,-17.78
5/23/2017,-17.6
5/22/2017,-18.55
5/19/2017,-17.4
5/18/2017,-17.45
5/17/2017,-17.39
5/16/2017,-17.75
5/15/2017,-18.54
5/12/2017,-17.42
5/11/2017,-17.24
5/10/2017,-17.23
5/9/2017,-17.7
5/8/2017,-18.2
5/5/2017,-17.26
5/4/2017,-17.27
5/3/2017,-18.3
5/2/2017,-19.22
5/1/2017,-20.39
4/28/2017,-20.36
4/27/2017,-17.85
4/26/2017,-18.55
4/25/2017,-18.33
4/24/2017,-16.76
4/21/2017,-18.11
4/20/2017,-16.95
4/19/2017,-17.79
4/18/2017,-18.45
4/17/2017,-17.57
4/14/2017,-17.52
4/13/2017,-17.52
4/12/2017,-17.1
4/11/2017,-18.4
4/10/2017,-17.41
4/7/2017,-16.76
4/6/2017,-16.6
4/5/2017,-17.01
4/4/2017,-17.74
4/3/2017,-16.8
3/31/2017,-17.11
3/30/2017,-16.86
3/29/2017,-17.53
3/28/2017,-18.15
3/27/2017,-18.8
3/24/2017,-19.73
3/23/2017,-20.36
3/22/2017,-19.85
3/21/2017,-20.4
3/20/2017,-21.47
3/17/2017,-20.22
3/16/2017,-19.74
3/15/2017,-20.65
3/14/2017,-21.05
3/13/2017,-20.76
3/10/2017,-21.32
3/9/2017,-19.28
3/8/2017,-19.36
3/7/2017,-19.83
3/6/2017,-20.25
3/3/2017,-18.53
3/2/2017,-19.06
3/1/2017,-19.23
2/28/2017,-19.63
2/27/2017,-19.6
2/24/2017,-15.48
2/23/2017,-13.91
2/22/2017,-14.17
2/21/2017,-13.96
2/20/2017,-13.83
2/17/2017,-13.75
2/16/2017,-13.53
2/15/2017,-13.36
2/14/2017,-13.29
2/13/2017,-13.34
2/10/2017,-13.35
2/9/2017,-13.29
2/8/2017,-13.31
2/7/2017,-13.45
2/6/2017,-13.64
2/3/2017,-13.56
2/2/2017,-13.35
2/1/2017,-13.65
1/31/2017,-13.7
1/30/2017,-13.8
1/27/2017,-14.01
1/26/2017,-14.59
1/25/2017,-15.55
1/24/2017,-16.34
1/23/2017,-16.65
1/20/2017,-16.11
1/19/2017,-16.3
1/18/2017,-16.71
1/17/2017,-17.17
1/16/2017,-17.55
1/13/2017,-15.87
1/12/2017,-15.99
1/11/2017,-16.1
1/10/2017,-16.74
1/9/2017,-17.7
1/6/2017,-16.85
1/5/2017,-16.88
1/4/2017,-17.33
1/3/2017,-19.14
1/2/2017,-23.5
12/30/2016,-23.38
12/29/2016,-19.71
12/28/2016,-28.96
12/27/2016,-27.01
12/26/2016,-27.3
12/23/2016,-27.32
12/22/2016,-25.64
12/21/2016,-25.64
12/20/2016,-27.4
12/19/2016,-27.6
12/16/2016,-26.75
12/15/2016,-26.65
12/14/2016,-26.59
12/13/2016,-26.65
12/12/2016,-27.23
12/9/2016,-25.14
12/8/2016,-24.15
12/7/2016,-24.87
12/6/2016,-25.62
12/5/2016,-26.81
12/2/2016,-26.47
12/1/2016,-25.59
11/30/2016,-25.53
11/29/2016,-25.49
11/28/2016,-15.77
11/25/2016,-15.27
11/24/2016,-15.16
11/23/2016,-16.07
11/22/2016,-16.09
11/21/2016,-14.84
11/18/2016,-14.92
11/17/2016,-14.46
11/16/2016,-14.93
11/15/2016,-15.29
11/14/2016,-13.81
11/11/2016,-13.54
11/10/2016,-13.54
11/9/2016,-13.95
11/8/2016,-15.24
11/7/2016,-14.25
11/4/2016,-14.26
11/3/2016,-13.97
11/2/2016,-14.67
11/1/2016,-15.19
10/31/2016,-14.98
10/28/2016,-14.56
10/27/2016,-14.8
10/26/2016,-15.12
10/25/2016,-15.6
10/24/2016,-15.89
10/21/2016,-15.01
10/20/2016,-15.48
10/19/2016,-15.07
10/18/2016,-16.15
10/17/2016,-16.86
10/14/2016,-15.76
10/13/2016,-15.22
10/12/2016,-14.66
10/11/2016,-15.15
10/10/2016,-15.69
10/7/2016,-16.16
10/6/2016,-16.4
10/5/2016,-15.2
10/4/2016,-16.85
10/3/2016,-18.48
9/30/2016,-17.8
9/29/2016,-15.79
9/28/2016,-18.53
9/27/2016,-19.09
9/26/2016,-17.31
9/23/2016,-17.09
9/22/2016,-17.44
9/21/2016,-17.8
9/20/2016,-18.15
9/19/2016,-17.78
9/16/2016,-17.68
9/15/2016,-16.94
9/14/2016,-16.97
9/13/2016,-16.94
9/12/2016,-15.76
9/9/2016,-15.82
9/8/2016,-16.19
9/7/2016,-17.24
9/6/2016,-17.9
9/5/2016,-17.08
9/2/2016,-17.25
9/1/2016,-18.24
8/31/2016,-18.8
8/30/2016,-19.58
8/29/2016,-16
8/26/2016,-16.05
8/25/2016,-16.05
8/24/2016,-15.79
8/23/2016,-15.82
8/22/2016,-16.3
8/19/2016,-15.29
8/18/2016,-15.24
8/17/2016,-15.14
8/16/2016,-15.43
8/15/2016,-16.17
8/12/2016,-15.15
8/11/2016,-15.23
8/10/2016,-15.35
8/9/2016,-16.35
8/8/2016,-16.99
8/5/2016,-16.3
8/4/2016,-16.3
8/3/2016,-16.7
8/2/2016,-16.89
8/1/2016,-17.63
7/29/2016,-17.23
7/28/2016,-15.55
7/27/2016,-16.44
7/26/2016,-15.92
7/25/2016,-16.3
7/22/2016,-15.48
7/21/2016,-15.73
7/20/2016,-15.56
7/19/2016,-16.14
7/18/2016,-17.35
7/15/2016,-15.71
7/14/2016,-15.3
7/13/2016,-15.15
7/12/2016,-16.23
7/11/2016,-17.39
7/8/2016,-17
7/7/2016,-17.45
7/6/2016,-17.2
7/5/2016,-16.28
7/4/2016,-18.85
7/1/2016,-17.51
6/30/2016,-19.72
6/29/2016,-19.47
6/28/2016,-20.49
6/27/2016,-21.49
6/24/2016,-23.88
6/23/2016,-17.49
6/22/2016,-19.4
6/21/2016,-18.45
6/20/2016,-16.75
6/17/2016,-17.78
6/16/2016,-18.2
6/15/2016,-17.48
6/14/2016,-17.52
6/13/2016,-15.3
6/10/2016,-15
6/9/2016,-15.09
6/8/2016,-15.25
6/7/2016,-15.33
6/6/2016,-14.28
6/3/2016,-13.95
6/2/2016,-14.61
6/1/2016,-15.1
5/31/2016,-13.9
5/30/2016,-13.76
5/27/2016,-12.58
5/26/2016,-12.42
5/25/2016,-12.45
5/24/2016,-12.86
5/23/2016,-13.17
5/20/2016,-12.34
5/19/2016,-12.36
5/18/2016,-12.2
5/17/2016,-12.46
5/16/2016,-12.85
5/13/2016,-12.87
5/12/2016,-12.01
5/11/2016,-11.89
5/10/2016,-12.57
5/9/2016,-13.15
5/6/2016,-12.28
5/5/2016,-12.27
5/4/2016,-12.3
