Date,EUR
4/20/2018,25.94
4/19/2018,25.74
4/18/2018,26.43
4/17/2018,27.46
4/16/2018,26.26
4/13/2018,26.43
4/12/2018,26.44
4/11/2018,26.7
4/10/2018,27.54
4/9/2018,25.85
4/6/2018,26.17
4/5/2018,26.5
4/4/2018,27.88
4/3/2018,28.15
4/2/2018,26.24
3/30/2018,26.3
3/29/2018,26.33
3/28/2018,26.09
3/27/2018,29.44
3/26/2018,31.33
3/23/2018,30.17
3/22/2018,29.83
3/21/2018,29.65
3/20/2018,32.7
3/19/2018,34.27
3/16/2018,32.55
3/15/2018,34.54
3/14/2018,34.15
3/13/2018,34.29
3/12/2018,34.1
3/9/2018,32.18
3/8/2018,31.99
3/7/2018,32.34
3/6/2018,32.7
3/5/2018,33.23
3/2/2018,31.59
3/1/2018,30.93
2/28/2018,30.5
2/27/2018,30.67
2/26/2018,23.66
2/23/2018,22.15
2/22/2018,21.97
2/21/2018,21.78
2/20/2018,21.67
2/19/2018,21.83
2/16/2018,21.89
2/15/2018,22.02
2/14/2018,21.65
2/13/2018,21.42
2/12/2018,21.67
2/9/2018,21.96
2/8/2018,21.38
2/7/2018,21.38
2/6/2018,21.67
2/5/2018,21.56
2/2/2018,22.07
2/1/2018,22.19
1/31/2018,21.92
1/30/2018,21.75
1/29/2018,21.67
1/26/2018,21.83
1/25/2018,22.24
1/24/2018,23.06
1/23/2018,23.78
1/22/2018,24.49
1/19/2018,22.65
1/18/2018,22.63
1/17/2018,23.4
1/16/2018,24.05
1/15/2018,24.54
1/12/2018,22.1
1/11/2018,22.07
1/10/2018,21.65
1/9/2018,22.14
1/8/2018,22.8
1/5/2018,21.55
1/4/2018,21.56
1/3/2018,21.26
1/2/2018,21.69
1/1/2018,22.83
12/29/2017,22.85
12/28/2017,21.35
12/27/2017,37.19
12/26/2017,40.8
12/25/2017,40.74
12/22/2017,40.53
12/21/2017,39.5
12/20/2017,35.24
12/19/2017,36.02
12/18/2017,43.31
12/15/2017,45.5
12/14/2017,39.1
12/13/2017,36.55
12/12/2017,35.81
12/11/2017,34.32
12/8/2017,32.76
12/7/2017,32.71
12/6/2017,30.85
12/5/2017,29.72
12/4/2017,29.5
12/1/2017,27.13
11/30/2017,26.87
11/29/2017,27.44
11/28/2017,19.61
11/27/2017,19.63
11/24/2017,19.37
11/23/2017,19.03
11/22/2017,20.93
11/21/2017,21.09
11/20/2017,18.42
11/17/2017,18.35
11/16/2017,18.26
11/15/2017,18.63
11/14/2017,19.17
11/13/2017,17.63
11/10/2017,17.57
11/9/2017,17.57
11/8/2017,18.33
11/7/2017,18.81
11/6/2017,17.63
11/3/2017,17.8
11/2/2017,18.02
11/1/2017,18.68
10/31/2017,19.32
10/30/2017,18.09
10/27/2017,18.14
10/26/2017,18.67
10/25/2017,18.88
10/24/2017,19.55
10/23/2017,20.27
10/20/2017,19.03
10/19/2017,19.52
10/18/2017,18.71
10/17/2017,19.37
10/16/2017,20.03
10/13/2017,19
10/12/2017,19.2
10/11/2017,19.58
10/10/2017,19.85
10/9/2017,20.15
10/6/2017,18.82
10/5/2017,18.9
10/4/2017,18.84
10/3/2017,19.57
10/2/2017,20.7
9/29/2017,19.47
9/28/2017,19.45
9/27/2017,21.59
9/26/2017,21.69
9/25/2017,20.58
9/22/2017,20.2
9/21/2017,19.36
9/20/2017,20.02
9/19/2017,20.76
9/18/2017,19.19
9/15/2017,18.96
9/14/2017,19.09
9/13/2017,19.66
9/12/2017,20.48
9/11/2017,19.15
9/8/2017,19.13
9/7/2017,18.98
9/6/2017,20.02
9/5/2017,20.79
9/4/2017,19.06
9/1/2017,18.99
8/31/2017,19.25
8/30/2017,20.04
8/29/2017,17.98
8/28/2017,18.42
8/25/2017,18.99
8/24/2017,18.77
8/23/2017,18.74
8/22/2017,19.24
8/21/2017,20.05
8/18/2017,18.78
8/17/2017,18.75
8/16/2017,18.79
8/15/2017,19.66
8/14/2017,20.53
8/11/2017,18.88
8/10/2017,18.49
8/9/2017,18.43
8/8/2017,19.06
8/7/2017,19.69
8/4/2017,18.37
8/3/2017,18.62
8/2/2017,19.4
8/1/2017,19.97
7/31/2017,20.87
7/28/2017,18.83
7/27/2017,18.8
7/26/2017,18.73
7/25/2017,19.41
7/24/2017,19.94
7/21/2017,18.75
7/20/2017,18.61
7/19/2017,18.51
7/18/2017,19.61
7/17/2017,19.85
7/14/2017,18.35
7/13/2017,18.14
7/12/2017,18.19
7/11/2017,19.22
7/10/2017,19.45
7/7/2017,18.17
7/6/2017,18.19
7/5/2017,18.03
7/4/2017,18.26
7/3/2017,18.91
6/30/2017,19.24
6/29/2017,18.27
6/28/2017,19.48
6/27/2017,20.67
6/26/2017,19.31
6/23/2017,19.19
6/22/2017,19.03
6/21/2017,19.61
6/20/2017,20.33
6/19/2017,19.09
6/16/2017,18.97
6/15/2017,19.03
6/14/2017,19.53
6/13/2017,19.89
6/12/2017,18.65
6/9/2017,18.65
6/8/2017,18.38
6/7/2017,18.73
6/6/2017,19.27
6/5/2017,18.05
6/2/2017,18.02
6/1/2017,18.1
5/31/2017,18.78
5/30/2017,19.49
5/29/2017,16.3
5/26/2017,16.84
5/25/2017,16.72
5/24/2017,16.4
5/23/2017,16.92
5/22/2017,17.41
5/19/2017,16.14
5/18/2017,16.1
5/17/2017,16.16
5/16/2017,16.14
5/15/2017,16.65
5/12/2017,15.54
5/11/2017,15.35
5/10/2017,15.19
5/9/2017,15.53
5/8/2017,16.08
5/5/2017,15.45
5/4/2017,15.47
5/3/2017,15.8
5/2/2017,16.53
5/1/2017,17.06
4/28/2017,17.19
4/27/2017,15.74
4/26/2017,16.65
4/25/2017,16.45
4/24/2017,14.91
4/21/2017,15.41
4/20/2017,14.89
4/19/2017,15.42
4/18/2017,16.34
4/17/2017,15.45
4/14/2017,15.19
4/13/2017,15.2
4/12/2017,15
4/11/2017,15.92
4/10/2017,14.99
4/7/2017,14.51
4/6/2017,14.11
4/5/2017,14.27
4/4/2017,15.17
4/3/2017,14.28
3/31/2017,14.35
3/30/2017,14.2
3/29/2017,15.09
3/28/2017,15.71
3/27/2017,16.05
3/24/2017,17.31
3/23/2017,18.05
3/22/2017,17.92
3/21/2017,18.1
3/20/2017,18.88
3/17/2017,17.74
3/16/2017,17.38
3/15/2017,17.78
3/14/2017,17.61
3/13/2017,17.39
3/10/2017,17.55
3/9/2017,16.03
3/8/2017,16.2
