Date,GBP
4/20/2018,17.47
4/19/2018,17.01
4/18/2018,17.8
4/17/2018,18.49
4/16/2018,18.17
4/13/2018,18.43
4/12/2018,18.29
4/11/2018,18.58
4/10/2018,18.95
4/9/2018,17.79
4/6/2018,18.24
4/5/2018,18.93
4/4/2018,20.95
4/3/2018,20.26
4/2/2018,17.98
3/30/2018,17.86
3/29/2018,17.85
3/28/2018,17.28
3/27/2018,19.85
3/26/2018,21.9
3/23/2018,21.42
3/22/2018,20.63
3/21/2018,20.32
3/20/2018,23.94
3/19/2018,25.13
3/16/2018,24.23
3/15/2018,26.28
3/14/2018,25.48
3/13/2018,25.17
3/12/2018,24.7
3/9/2018,23.41
3/8/2018,23.19
3/7/2018,22.76
3/6/2018,22.98
3/5/2018,23.41
3/2/2018,22.22
3/1/2018,21.81
2/28/2018,21.18
2/27/2018,21.73
2/26/2018,15.19
2/23/2018,14.26
2/22/2018,14.34
2/21/2018,14.36
2/20/2018,14.2
2/19/2018,13.82
2/16/2018,13.98
2/15/2018,14.12
2/14/2018,14.26
2/13/2018,14.18
2/12/2018,14.69
2/9/2018,15.1
2/8/2018,14.42
2/7/2018,14.25
2/6/2018,14.41
2/5/2018,14.55
2/2/2018,14.88
2/1/2018,14.8
1/31/2018,14.57
1/30/2018,14.53
1/29/2018,14.33
1/26/2018,14.32
1/25/2018,14.38
1/24/2018,14.95
1/23/2018,15.24
1/22/2018,15.63
1/19/2018,14.35
1/18/2018,14.38
1/17/2018,14.95
1/16/2018,14.92
1/15/2018,15.25
1/12/2018,13.69
1/11/2018,13.88
1/10/2018,13.55
1/9/2018,13.63
1/8/2018,14.03
1/5/2018,13.24
1/4/2018,13.3
1/3/2018,13.09
1/2/2018,13.4
1/1/2018,14.36
12/29/2017,14.35
12/28/2017,13.2
12/27/2017,26.2
12/26/2017,29.82
12/25/2017,30.35
12/22/2017,29.56
12/21/2017,29.17
12/20/2017,25.03
12/19/2017,27.81
12/18/2017,34.55
12/15/2017,38.05
12/14/2017,30.22
12/13/2017,28.81
12/12/2017,25.19
12/11/2017,22.7
12/8/2017,22.2
12/7/2017,22.2
12/6/2017,21
12/5/2017,20.75
12/4/2017,20.25
12/1/2017,18.61
11/30/2017,18.31
11/29/2017,18.3
11/28/2017,11.65
11/27/2017,11.49
11/24/2017,11.22
11/23/2017,11
11/22/2017,12.08
11/21/2017,12.17
11/20/2017,10.45
11/17/2017,10.09
11/16/2017,10.1
11/15/2017,10.06
11/14/2017,10.46
11/13/2017,9.82
11/10/2017,9.88
11/9/2017,9.81
11/8/2017,10.25
11/7/2017,10.49
11/6/2017,9.8
11/3/2017,9.91
11/2/2017,10.02
11/1/2017,11
10/31/2017,11.58
10/30/2017,10.76
10/27/2017,10.82
10/26/2017,11.24
10/25/2017,11.46
10/24/2017,12.17
10/23/2017,12.52
10/20/2017,11.88
10/19/2017,12.18
10/18/2017,11.93
10/17/2017,12.61
10/16/2017,13.25
10/13/2017,12.56
10/12/2017,12.77
10/11/2017,13.44
10/10/2017,13.46
10/9/2017,13.7
10/6/2017,12.91
10/5/2017,12.92
10/4/2017,13
10/3/2017,13.46
10/2/2017,14.45
9/29/2017,13.49
9/28/2017,13.45
9/27/2017,15.73
9/26/2017,15.6
9/25/2017,14.98
9/22/2017,13.93
9/21/2017,13.65
9/20/2017,14.27
9/19/2017,14.7
9/18/2017,13.65
9/15/2017,13.52
9/14/2017,13.18
9/13/2017,13.39
9/12/2017,13.96
9/11/2017,13.16
9/8/2017,13.21
9/7/2017,13.24
9/6/2017,14.06
9/5/2017,14.52
9/4/2017,13.44
9/1/2017,13.47
8/31/2017,13.6
8/30/2017,14.16
8/29/2017,12.23
8/28/2017,12.58
8/25/2017,12.53
8/24/2017,12.86
8/23/2017,12.76
8/22/2017,13.15
8/21/2017,13.56
8/18/2017,12.68
8/17/2017,12.68
8/16/2017,12.74
8/15/2017,13.44
8/14/2017,13.92
8/11/2017,12.98
8/10/2017,12.7
8/9/2017,12.85
8/8/2017,13.24
8/7/2017,13.69
8/4/2017,12.8
8/3/2017,12.95
8/2/2017,13.51
8/1/2017,14.04
7/31/2017,14.69
7/28/2017,13.24
7/27/2017,13.29
7/26/2017,13.71
7/25/2017,14.12
7/24/2017,14.3
7/21/2017,13
7/20/2017,12.94
7/19/2017,13.15
7/18/2017,14.02
7/17/2017,14.1
7/14/2017,12.97
7/13/2017,12.75
7/12/2017,12.74
7/11/2017,13.57
7/10/2017,13.65
7/7/2017,12.7
7/6/2017,12.73
7/5/2017,12.6
7/4/2017,12.8
7/3/2017,13.3
6/30/2017,13.51
6/29/2017,12.75
6/28/2017,14
6/27/2017,15.34
6/26/2017,14.15
6/23/2017,13.78
6/22/2017,13.51
6/21/2017,13.81
6/20/2017,14.31
6/19/2017,13.55
6/16/2017,13.65
6/15/2017,13.57
6/14/2017,13.68
6/13/2017,14.01
6/12/2017,13.23
6/9/2017,13.24
6/8/2017,13.1
6/7/2017,13.39
6/6/2017,13.5
6/5/2017,12.63
6/2/2017,12.41
6/1/2017,12.55
5/31/2017,12.89
5/30/2017,13.6
5/29/2017,10.82
5/26/2017,10.87
5/25/2017,11.13
5/24/2017,10.94
5/23/2017,11.24
5/22/2017,11.43
5/19/2017,10.58
5/18/2017,10.69
5/17/2017,10.66
5/16/2017,10.85
5/15/2017,11.15
5/12/2017,10.39
5/11/2017,10.27
5/10/2017,10.2
5/9/2017,10.45
5/8/2017,10.57
5/5/2017,10.1
5/4/2017,10.1
5/3/2017,10.4
5/2/2017,11.07
5/1/2017,11.47
4/28/2017,11.5
4/27/2017,10.47
4/26/2017,10.9
4/25/2017,10.85
4/24/2017,9.72
4/21/2017,9.95
4/20/2017,9.6
4/19/2017,10.1
4/18/2017,10.7
4/17/2017,10.25
4/14/2017,10.16
4/13/2017,10.15
4/12/2017,9.54
4/11/2017,10.23
4/10/2017,9.81
4/7/2017,9.41
4/6/2017,9.2
4/5/2017,9.36
4/4/2017,9.9
4/3/2017,8.91
3/31/2017,8.85
3/30/2017,8.6
3/29/2017,9.84
3/28/2017,10.4
3/27/2017,10.29
3/24/2017,11.5
3/23/2017,11.85
3/22/2017,11.75
3/21/2017,11.98
3/20/2017,12.35
3/17/2017,11.66
3/16/2017,11.4
3/15/2017,11.71
3/14/2017,11.56
3/13/2017,11.4
3/10/2017,11.49
3/9/2017,10.59
3/8/2017,10.6
3/7/2017,11.07
3/6/2017,11.24
3/3/2017,10.19
3/2/2017,10.3
3/1/2017,10.55
2/28/2017,10.35
2/27/2017,10.71
2/24/2017,6.88
2/23/2017,6.25
2/22/2017,6.4
2/21/2017,6.43
2/20/2017,6.13
2/17/2017,5.87
2/16/2017,5.95
2/15/2017,5.78
2/14/2017,5.88
2/13/2017,5.8
2/10/2017,5.79
2/9/2017,5.78
2/8/2017,5.88
2/7/2017,6.07
2/6/2017,6.23
2/3/2017,6.22
2/2/2017,6.2
2/1/2017,6.28
1/31/2017,6.15
1/30/2017,6.3
1/27/2017,6.54
1/26/2017,7.26
1/25/2017,7.95
1/24/2017,7.94
1/23/2017,8.43
1/20/2017,8.23
1/19/2017,8.08
1/18/2017,8.01
1/17/2017,8.24
1/16/2017,8.35
1/13/2017,7.45
1/12/2017,7.46
1/11/2017,7.76
1/10/2017,8.26
1/9/2017,8.74
1/6/2017,8.54
1/5/2017,8.57
1/4/2017,8.55
1/3/2017,8.85
1/2/2017,10.68
12/30/2016,10.74
12/29/2016,9.8
12/28/2016,17
12/27/2016,15.75
12/26/2016,15.65
12/23/2016,15.64
12/22/2016,15.72
12/21/2016,16.05
12/20/2016,16.39
12/19/2016,15.61
12/16/2016,14.69
12/15/2016,15.1
12/14/2016,15.1
12/13/2016,15.48
12/12/2016,15.35
12/9/2016,13.65
12/8/2016,13
12/7/2016,13.44
12/6/2016,13.98
12/5/2016,15.12
12/2/2016,14.65
12/1/2016,14.31
11/30/2016,13.54
11/29/2016,14.17
11/28/2016,7.36
11/25/2016,6.84
11/24/2016,6.87
11/23/2016,7.26
11/22/2016,7.43
11/21/2016,6.36
11/18/2016,5.95
11/17/2016,5.78
11/16/2016,6.1
11/15/2016,6.41
11/14/2016,5.74
11/11/2016,5.36
11/10/2016,5.51
11/9/2016,5.73
11/8/2016,5.91
11/7/2016,5.7
11/4/2016,5.97
11/3/2016,5.85
11/2/2016,6.08
11/1/2016,6.78
10/31/2016,7.01
10/28/2016,6.82
10/27/2016,6.44
10/26/2016,6.76
10/25/2016,7.26
10/24/2016,7.25
10/21/2016,6.41
10/20/2016,6.15
10/19/2016,5.96
10/18/2016,6.73
10/17/2016,7.3
10/14/2016,6.73
10/13/2016,6.99
10/12/2016,5.71
10/11/2016,5.66
10/10/2016,5.99
10/7/2016,6.4
10/6/2016,6.49
10/5/2016,6.19
10/4/2016,7.77
10/3/2016,8.75
9/30/2016,8.08
9/29/2016,6.93
9/28/2016,9.91
9/27/2016,10.82
9/26/2016,9.72
9/23/2016,9
9/22/2016,9.22
9/21/2016,9.2
9/20/2016,9.46
9/19/2016,9.16
9/16/2016,9.07
9/15/2016,8.58
9/14/2016,8.9
9/13/2016,9.05
9/12/2016,8.35
9/9/2016,8.44
9/8/2016,8.75
9/7/2016,9.45
9/6/2016,10.12
9/5/2016,10.01
9/2/2016,9.98
9/1/2016,10.04
8/31/2016,10.16
8/30/2016,10.31
8/29/2016,7.03
8/26/2016,7.06
8/25/2016,7.12
8/24/2016,7.1
8/23/2016,6.99
8/22/2016,6.98
8/19/2016,6.25
8/18/2016,6.16
8/17/2016,6.44
8/16/2016,6.5
8/15/2016,6.35
8/12/2016,6.05
8/11/2016,6.21
8/10/2016,6.51
8/9/2016,7.4
8/8/2016,7.19
8/5/2016,6.5
8/4/2016,6.69
8/3/2016,7.11
8/2/2016,7.12
8/1/2016,6.95
7/29/2016,6.15
7/28/2016,6.44
7/27/2016,6.74
7/26/2016,6.3
7/25/2016,5.73
7/22/2016,4.35
7/21/2016,4.05
7/20/2016,4.19
7/19/2016,3.65
7/18/2016,3.7
7/15/2016,3.05
7/14/2016,2.66
7/13/2016,4.7
7/12/2016,4.74
7/11/2016,4.97
7/8/2016,4.51
7/7/2016,4.74
7/6/2016,4.97
7/5/2016,4.08
7/4/2016,4.35
7/1/2016,4
6/30/2016,3.51
6/29/2016,2.8
6/28/2016,2.9
6/27/2016,6.99
6/24/2016,8.47
6/23/2016,2.86
6/22/2016,4.2
6/21/2016,4.25
6/20/2016,4.45
6/17/2016,5.09
6/16/2016,4.8
6/15/2016,4.1
6/14/2016,4.34
6/13/2016,4.01
6/10/2016,3.58
6/9/2016,3.73
6/8/2016,4.4
6/7/2016,4.5
6/6/2016,4.26
6/3/2016,3.91
6/2/2016,4.37
6/1/2016,4.26
5/31/2016,3.4
5/30/2016,2.97
5/27/2016,2.96
5/26/2016,1.8
5/25/2016,1.7
5/24/2016,1.7
5/23/2016,1.55
5/20/2016,1.3
5/19/2016,1.2
5/18/2016,1.3
5/17/2016,1.25
5/16/2016,1.2
5/13/2016,1.05
5/12/2016,1
5/11/2016,0.95
5/10/2016,1.2
5/9/2016,1.22
5/6/2016,1.15
5/5/2016,1.15
5/4/2016,1.16
5/3/2016,1.1
5/2/2016,1.1
4/29/2016,1.1
