Date,JPY
4/20/2018,-20.05
4/19/2018,-19.44
4/18/2018,-19.95
4/17/2018,-20.78
4/16/2018,-20
4/13/2018,-20.1
4/12/2018,-19.91
4/11/2018,-20.14
4/10/2018,-21.08
4/9/2018,-20.02
4/6/2018,-20.3
4/5/2018,-20.51
4/4/2018,-21.39
4/3/2018,-21.27
4/2/2018,-22.33
3/30/2018,-22.93
3/29/2018,-20.06
3/28/2018,-19.01
3/27/2018,-20.2
3/26/2018,-22.02
3/23/2018,-23.4
3/22/2018,-23.51
3/21/2018,-24
3/20/2018,-25.37
3/19/2018,-26.58
3/16/2018,-26.53
3/15/2018,-27.73
3/14/2018,-27.08
3/13/2018,-27.3
3/12/2018,-27.26
3/9/2018,-25.9
3/8/2018,-25.58
3/7/2018,-25.6
3/6/2018,-26.3
3/5/2018,-26.61
3/2/2018,-25.28
3/1/2018,-25.58
2/28/2018,-24.45
2/27/2018,-24.75
2/26/2018,-18.21
2/23/2018,-16.73
2/22/2018,-16.48
2/21/2018,-16.16
2/20/2018,-16.16
2/19/2018,-16.18
2/16/2018,-15.98
2/15/2018,-15.94
2/14/2018,-16
2/13/2018,-16.5
2/12/2018,-17.08
2/9/2018,-17.19
2/8/2018,-16.42
2/7/2018,-16.31
2/6/2018,-16.72
2/5/2018,-16.83
2/2/2018,-16.88
2/1/2018,-16.46
1/31/2018,-16.26
1/30/2018,-16.3
1/29/2018,-16.14
1/26/2018,-16.28
1/25/2018,-16.51
1/24/2018,-17.21
1/23/2018,-18.36
1/22/2018,-19.07
1/19/2018,-17.47
1/18/2018,-17.39
1/17/2018,-18.32
1/16/2018,-18.5
1/15/2018,-18.97
1/12/2018,-17.38
1/11/2018,-17.83
1/10/2018,-17.63
1/9/2018,-18.05
1/8/2018,-18.5
1/5/2018,-18.76
1/4/2018,-17.08
1/3/2018,-16.65
1/2/2018,-16.66
1/1/2018,-16.98
12/29/2017,-16.98
12/28/2017,-17.6
12/27/2017,-36.55
12/26/2017,-39.09
12/25/2017,-37.49
12/22/2017,-35.95
12/21/2017,-31.49
12/20/2017,-29.14
12/19/2017,-30.01
12/18/2017,-32.78
12/15/2017,-33.96
12/14/2017,-28.77
12/13/2017,-29.7
12/12/2017,-28.75
12/11/2017,-27.75
12/8/2017,-27.72
12/7/2017,-26.9
12/6/2017,-25.01
12/5/2017,-24.35
12/4/2017,-24.7
12/1/2017,-22.06
11/30/2017,-21.29
11/29/2017,-22.67
11/28/2017,-14.27
11/27/2017,-14.32
11/24/2017,-14.19
11/23/2017,-14.22
11/22/2017,-14.45
11/21/2017,-15.59
11/20/2017,-13.65
11/17/2017,-13.56
11/16/2017,-13.68
11/15/2017,-13.98
11/14/2017,-14.37
11/13/2017,-13.28
11/10/2017,-13.21
11/9/2017,-13.2
11/8/2017,-13.95
11/7/2017,-14.41
11/6/2017,-13.58
11/3/2017,-13.87
11/2/2017,-13.92
11/1/2017,-13.96
10/31/2017,-14.86
10/30/2017,-14.32
10/27/2017,-14.4
10/26/2017,-14.76
10/25/2017,-14.75
10/24/2017,-15.12
10/23/2017,-15.89
10/20/2017,-14.81
10/19/2017,-15.05
10/18/2017,-14.2
10/17/2017,-14.59
10/16/2017,-15.31
10/13/2017,-14.73
10/12/2017,-15.18
10/11/2017,-15.35
10/10/2017,-15.61
10/9/2017,-16.16
10/6/2017,-16.07
10/5/2017,-15.04
10/4/2017,-14.9
10/3/2017,-15.61
10/2/2017,-16.75
9/29/2017,-17.1
9/28/2017,-15.5
9/27/2017,-17.56
9/26/2017,-17.87
9/25/2017,-16.99
9/22/2017,-16.23
9/21/2017,-15.51
9/20/2017,-16.19
9/19/2017,-16.96
9/18/2017,-15.47
9/15/2017,-15.38
9/14/2017,-15.35
9/13/2017,-15.63
9/12/2017,-16.16
9/11/2017,-15.09
9/8/2017,-14.98
9/7/2017,-15.13
9/6/2017,-16.25
9/5/2017,-16.63
9/4/2017,-15.53
9/1/2017,-15.65
8/31/2017,-15.63
8/30/2017,-16.2
8/29/2017,-13.78
8/28/2017,-14.06
8/25/2017,-14.54
8/24/2017,-14.59
8/23/2017,-14.34
8/22/2017,-14.44
8/21/2017,-15.43
8/18/2017,-14.71
8/17/2017,-14.55
8/16/2017,-15.44
8/15/2017,-16.1
8/14/2017,-16.65
8/11/2017,-14.65
8/10/2017,-14.43
8/9/2017,-14.56
8/8/2017,-14.44
8/7/2017,-15.44
8/4/2017,-14.44
8/3/2017,-14.14
8/2/2017,-14.91
8/1/2017,-15.45
7/31/2017,-15.77
7/28/2017,-14.46
7/27/2017,-14.58
7/26/2017,-14.9
7/25/2017,-15.06
7/24/2017,-15.51
7/21/2017,-14.57
7/20/2017,-14.81
7/19/2017,-15.05
7/18/2017,-16.44
7/17/2017,-16.33
7/14/2017,-15.9
7/13/2017,-14.7
7/12/2017,-14.75
7/11/2017,-16.25
7/10/2017,-16.55
7/7/2017,-16.5
7/6/2017,-14.99
7/5/2017,-14.73
7/4/2017,-14.88
7/3/2017,-15.4
6/30/2017,-15.44
6/29/2017,-14.37
6/28/2017,-14.95
6/27/2017,-16.87
6/26/2017,-16.31
6/23/2017,-16.2
6/22/2017,-15.78
6/21/2017,-16.04
6/20/2017,-17.03
6/19/2017,-16.45
6/16/2017,-16.5
6/15/2017,-16.28
6/14/2017,-17.42
6/13/2017,-17.31
6/12/2017,-16.11
6/9/2017,-15.96
6/8/2017,-15.28
6/7/2017,-14.95
6/6/2017,-15.48
6/5/2017,-14.6
6/2/2017,-14.63
6/1/2017,-14.95
5/31/2017,-15.55
5/30/2017,-16.19
5/29/2017,-12.38
5/26/2017,-12.86
5/25/2017,-12.55
5/24/2017,-12.4
5/23/2017,-12.55
5/22/2017,-13.02
5/19/2017,-12.51
5/18/2017,-12.64
5/17/2017,-12.3
5/16/2017,-12.54
5/15/2017,-13.28
5/12/2017,-12.6
5/11/2017,-12.15
5/10/2017,-11.77
5/9/2017,-12.09
5/8/2017,-12.22
5/5/2017,-12.35
5/4/2017,-12.66
5/3/2017,-13.03
5/2/2017,-12.99
5/1/2017,-12.82
4/28/2017,-12.7
4/27/2017,-12.2
4/26/2017,-12.58
4/25/2017,-13.41
4/24/2017,-12.32
4/21/2017,-12.65
4/20/2017,-11.86
4/19/2017,-12.76
4/18/2017,-13.31
4/17/2017,-12.78
4/14/2017,-12.47
4/13/2017,-12.56
4/12/2017,-12.68
4/11/2017,-13.05
4/10/2017,-12.75
4/7/2017,-12.32
4/6/2017,-11.8
4/5/2017,-11.28
4/4/2017,-11.85
4/3/2017,-13.13
3/31/2017,-13.51
3/30/2017,-13.8
3/29/2017,-12.95
3/28/2017,-13.74
3/27/2017,-14.57
3/24/2017,-15.1
3/23/2017,-14.05
3/22/2017,-15.94
3/21/2017,-17.19
3/20/2017,-18.94
3/17/2017,-19.1
3/16/2017,-18.22
3/15/2017,-18.78
3/14/2017,-18.36
3/13/2017,-17.84
3/10/2017,-17.25
3/9/2017,-17.48
3/8/2017,-16.75
3/7/2017,-17.52
3/6/2017,-17.53
3/3/2017,-16.37
3/2/2017,-16.39
3/1/2017,-16.03
2/28/2017,-15.72
2/27/2017,-16.17
2/24/2017,-10.24
2/23/2017,-9.08
2/22/2017,-9.26
2/21/2017,-9.26
2/20/2017,-8.9
2/17/2017,-8.95
2/16/2017,-8.87
2/15/2017,-8.82
2/14/2017,-8.68
2/13/2017,-8.82
2/10/2017,-8.76
2/9/2017,-8.48
2/8/2017,-8.51
2/7/2017,-9.19
2/6/2017,-8.9
2/3/2017,-8.89
2/2/2017,-8.2
2/1/2017,-8.6
1/31/2017,-8.55
1/30/2017,-8.85
1/27/2017,-9.51
1/26/2017,-9.94
1/25/2017,-9.82
1/24/2017,-10.39
1/23/2017,-11.45
1/20/2017,-10.96
1/19/2017,-10.88
1/18/2017,-11.01
1/17/2017,-11.31
1/16/2017,-12.48
1/13/2017,-11.74
1/12/2017,-11.39
1/11/2017,-11.44
1/10/2017,-12.59
1/9/2017,-14.38
1/6/2017,-14.65
1/5/2017,-13.63
1/4/2017,-14.29
1/3/2017,-16.65
1/2/2017,-21.15
12/30/2016,-20.35
12/29/2016,-19.23
12/28/2016,-26.91
12/27/2016,-21.9
12/26/2016,-22.47
12/23/2016,-20.76
12/22/2016,-20.81
12/21/2016,-19.22
12/20/2016,-21.61
12/19/2016,-21.58
12/16/2016,-21.31
12/15/2016,-22.56
12/14/2016,-22.86
12/13/2016,-24.11
12/12/2016,-24.9
12/9/2016,-22.29
12/8/2016,-21.55
12/7/2016,-22.55
12/6/2016,-23.6
12/5/2016,-24.3
12/2/2016,-23.29
12/1/2016,-22.75
11/30/2016,-23.55
11/29/2016,-25.02
11/28/2016,-13.34
11/25/2016,-12.52
11/24/2016,-12.65
11/23/2016,-12.77
11/22/2016,-12.65
11/21/2016,-12.43
11/18/2016,-10.14
11/17/2016,-9.5
11/16/2016,-10.1
11/15/2016,-10.69
11/14/2016,-9.69
11/11/2016,-9.94
11/10/2016,-9.73
11/9/2016,-10.1
11/8/2016,-11.4
11/7/2016,-9.99
11/4/2016,-10.01
11/3/2016,-9.35
11/2/2016,-9.63
11/1/2016,-10.14
10/31/2016,-10.25
10/28/2016,-10.05
10/27/2016,-9.8
10/26/2016,-9.85
10/25/2016,-10.34
10/24/2016,-10.7
10/21/2016,-10.19
10/20/2016,-10.55
10/19/2016,-9.88
10/18/2016,-10.73
10/17/2016,-11.5
10/14/2016,-10.95
10/13/2016,-10.78
10/12/2016,-10.47
10/11/2016,-11.66
10/10/2016,-12.5
10/7/2016,-12.4
10/6/2016,-12.2
10/5/2016,-10.53
10/4/2016,-11.7
10/3/2016,-13.53
9/30/2016,-12.93
9/29/2016,-13.05
9/28/2016,-16.24
9/27/2016,-16.5
9/26/2016,-15.3
9/23/2016,-15.16
9/22/2016,-16.03
9/21/2016,-15.8
9/20/2016,-17.3
9/19/2016,-16.9
9/16/2016,-17.04
9/15/2016,-16.2
9/14/2016,-16.62
9/13/2016,-16.1
9/12/2016,-15.47
9/9/2016,-15.7
9/8/2016,-15.42
9/7/2016,-15.62
9/6/2016,-15.57
9/5/2016,-15.25
9/2/2016,-15.39
9/1/2016,-14.88
8/31/2016,-14.64
8/30/2016,-15.07
8/29/2016,-10.34
8/26/2016,-10.3
8/25/2016,-9.69
8/24/2016,-9.65
8/23/2016,-10.21
8/22/2016,-10.75
8/19/2016,-10.22
8/18/2016,-10.77
8/17/2016,-10.4
8/16/2016,-11.05
8/15/2016,-11.93
8/12/2016,-11.24
8/11/2016,-10.9
8/10/2016,-11.09
8/9/2016,-11.4
8/8/2016,-12.05
8/5/2016,-11.4
8/4/2016,-10.69
8/3/2016,-10.97
8/2/2016,-11.65
8/1/2016,-11.85
7/29/2016,-10.65
7/28/2016,-12.35
7/27/2016,-13.2
7/26/2016,-12.9
7/25/2016,-12.9
7/22/2016,-12.15
7/21/2016,-12.53
7/20/2016,-12.71
7/19/2016,-12.5
7/18/2016,-13.7
7/15/2016,-13.87
7/14/2016,-11.85
7/13/2016,-10.77
7/12/2016,-11.33
7/11/2016,-11.35
7/8/2016,-11.35
7/7/2016,-11.2
7/6/2016,-10.99
7/5/2016,-9.82
7/4/2016,-10.4
7/1/2016,-9.73
6/30/2016,-9.6
6/29/2016,-10.5
6/28/2016,-12.9
6/27/2016,-14.05
6/24/2016,-15.85
6/23/2016,-14.2
6/22/2016,-14.39
6/21/2016,-15.5
6/20/2016,-14.44
6/17/2016,-14.69
6/16/2016,-15.7
6/15/2016,-16.4
6/14/2016,-16.28
6/13/2016,-14.8
6/10/2016,-14.66
6/9/2016,-13.27
6/8/2016,-12.85
6/7/2016,-12.9
6/6/2016,-12.28
6/3/2016,-12.68
6/2/2016,-13.3
6/1/2016,-13.4
5/31/2016,-13.05
5/30/2016,-8.75
5/27/2016,-8.38
5/26/2016,-7.73
5/25/2016,-7.8
5/24/2016,-7.97
5/23/2016,-8.2
5/20/2016,-7.6
5/19/2016,-7.31
5/18/2016,-7.6
5/17/2016,-8
